Seller SKU,Item Name,Description,Categorization / Hierarchy,List Price,Selling Price per Unit,Unit of Measure,UNSPSC Code,Item Weight,Image File Name,Manufacturer SKU,Manufacturer,Search Terms,Brand Name,Brand Logo,Specifications,Classifications,Product Type / Family,Selling Points,Quantity per Unit,Minimum Qty per Order,Order Multiples,Maximum Qty per Order,MSDS Link
SKU-001,Heavy Duty Copy Paper 8.5x11,Premium 20lb bond copy paper ideal for laser and inkjet printers. 5000 sheets per case. Brightness 92. FSC Certified.,Office Supplies/Paper/Copy Paper,59.99,54.99,CS,14111505,20,paper_case.jpg,MFR-PAPER-001,International Paper,paper;copy paper;office paper;laser paper;inkjet paper,OfficePro,,Color=White;Size=8.5x11;Sheets=5000;Weight=20lb;Brightness=92,FSC Certified;Recyclable;EPP,Office Paper,Bulk;Economy;Certified,5,1,1,10,https://msds.example.com/paper
SKU-002,Industrial Strength All-Purpose Cleaner 1Gal,"Heavy-duty concentrated cleaning solution for industrial and commercial use. Effective on grease oil and grime. Dilutable up to 10:1. EPA registered.",Janitorial/Cleaning Chemicals/All-Purpose Cleaner,24.99,19.99,GL,12321601,8.5,cleaner_gal.jpg,CLN-456789,3M,cleaner;degreaser;industrial cleaner;all-purpose cleaner;cleaning solution,3M,,Color=Blue;Scent=Original;Volume=1Gal;Concentration=Concentrated;Dilution Ratio=10:1,Green Certified;EPP,Cleaning Chemicals,Concentrated;EPA Registered;Industrial Grade,1,2,2,50,https://msds.example.com/cleaner
SKU-003,Stainless Steel Utility Cart 36x24,Heavy-duty stainless steel utility cart with 3 shelves. 500lb capacity. NSF certified. Includes push handle and 4 swivel casters (2 locking).,Furniture/Carts/Utility Cart,349.99,329.99,EA,52101504,45,cart_ss.jpg,CART-789012,Rubbermaid,utility cart;stainless steel cart;kitchen cart;industrial cart;storage cart,Rubbermaid Commercial,,Material=Stainless Steel;Shelves=3;Capacity=500lb;Dimensions=36x24x36;Color=Silver,NSF Certified;Commercial Grade,Carts,Heavy Duty;NSF Certified;Commercial Grade,1,1,1,5,https://msds.example.com/cart
SKU-004,Disposable Nitrile Exam Gloves - Box 100,High quality powder-free nitrile exam gloves. Latex-free. Textured fingertips for grip. 100 gloves per box. Ambidextrous.,Safety/Hand Protection/Nitrile Gloves,18.99,15.99,BX,46181504,1.2,nitrile_gloves.jpg,GLOV-345678,Ansell,gloves;nitrile gloves;exam gloves;disposable gloves;safety gloves,Ansell,,Size=Large;Type=Exam;Material=Nitrile;Powder Free=Yes;Textured=Yes;Color=Blue,Medical Grade;FDA Approved,Safety Gloves,Powder Free;Latex Free;Textured Grip,100,1,1,20,https://msds.example.com/gloves
SKU-005,LED High Bay Light 150W - 20000 Lumens,150W LED high bay light fixture for warehouse and industrial applications. 20000 lumens. 5000K daylight. IP65 rated. 10ft power cord included.,Lighting/Industrial Lighting/High Bay LED,189.99,179.99,EA,39111508,12.5,led_highbay.jpg,LIGHT-567890,Philips,LED light;high bay light;warehouse light;industrial lighting;LED fixture,Philips,,Wattage=150W;Lumens=20000;Color Temp=5000K;IP Rating=IP65;Beam Angle=120deg;Voltage=120-277V,UL Listed;DLC Premium;Energy Star,Industrial Lighting,Energy Efficient;Long Life 50000hrs;DLC Premium,1,1,1,10,https://msds.example.com/light
SKU-006,Standard #10 Business Envelopes Box 500,Classic #10 4.125x9.5 security envelopes with self-seal closure. 24lb white wove. Box of 500.,Office Supplies/Envelopes/Business Envelopes,34.99,29.99,BX,14121503,3.5,envelope_box.jpg,ENV-901234,Neenah,envelopes;business envelopes;#10 envelopes;security envelopes;mailing supplies,Neenah,,Size=#10;Dimensions=4.125x9.5;Weight=24lb;Type=Security;Closure=Self-Seal;Color=White,FSC Certified;Recyclable,Office Envelopes,Self-Seal;Security Tint;FSC Certified,500,1,1,25,https://msds.example.com/envelopes
SKU-007,Polypropylene Strapping 1/2 x 2000ft,High quality polypropylene strapping for bundling and palletizing. 1/2 inch width. 2000ft roll. Tensile strength 350lbs.,Packaging/Strapping/PP Strapping,22.99,19.99,RL,24111812,8,strapping_roll.jpg,STRP-678901,Signode,strapping;polypropylene strapping;packaging supplies;bundling strapping;pallet strapping,Signode,,Width=0.5in;Length=2000ft;Material=Polypropylene;Color=Clear;Tensile=350lbs,,Packaging Supplies,High Tensile;UV Resistant;Recyclable,1,1,1,15,https://msds.example.com/strapping
SKU-008,Ergonomic Mesh Office Chair - Mid Back,Adjustable mid-back mesh office chair with lumbar support. Pneumatic seat height adjustment. Tilt lock with tension control. 300lb capacity. Armrests included.,Furniture/Seating/Office Chair,299.99,279.99,EA,56101502,35,office_chair.jpg,CHR-234567,Steelcase,office chair;mesh chair;ergonomic chair;desk chair;task chair,Steelcase,,Material=Mesh;Type=Mid Back;Capacity=300lb;Features=Lumbar Support;Color=Black;Warranty=5 Year,BIFMA Certified;Greenguard,Office Seating,Ergonomic;Lumbar Support;Adjustable,1,1,1,5,https://msds.example.com/chair
SKU-009,Safety Goggles - Anti-Fog Clear Lens,Professional safety goggles with anti-fog coating. Scratch resistant polycarbonate lens. Adjustable strap. ANSI Z87.1 certified. Indirect ventilation.,Safety/Eye Protection/Safety Goggles,8.99,6.99,EA,46181502,0.3,safety_goggles.jpg,GOG-890123,3M,safety goggles;eye protection;anti-fog goggles;safety glasses;PPE,3M,,Lens=Clear;Coating=Anti-Fog;Material=Polycarbonate;Ventilation=Indirect;Standard=ANSI Z87.1,ANSI Certified;OSHA Compliant,Eye Protection,Anti-Fog;Scratch Resistant;Adjustable,1,1,1,50,https://msds.example.com/goggles
SKU-010,Industrial Paper Towels - 6 Roll Case,Heavy-duty industrial paper towels in perforated roll format. 6 rolls per case. Each roll 800 sheets. 2-ply. Absorbent and strong perfect for high traffic restrooms and janitorial use.,Janitorial/Paper Towels/Industrial Roll Towels,45.99,39.99,CS,14111601,15,towels_case.jpg,TOWL-456123,Georgia-Pacific,paper towels;industrial towels;janitorial towels;roll towels;restroom supplies,Georgia-Pacific,,Ply=2-Ply;Sheets per Roll=800;Rolls=6;Type=Perforated Roll;Color=White,Green Seal;EPP;Recyclable,Janitorial Paper,Heavy Duty;High Absorbency;Perforated,6,1,1,10,https://msds.example.com/towels
